display_name	population	arts_grants_2014
Alabama	4530315	9204877
Alaska	660633	1953665
Arizona	5863809	14529546
Arkansas	2757631	9850864
California	37691912	442319185
Colorado	4678630	41726830
Connecticut	3527249	50288878
Delaware	838549	11474549
District of Columbia	552433	161713166
Florida	17671452	62105891
Georgia	8975842	61385507
Hawaii	1284220	9794841
Idaho	1416564	3119145
Illinois	12772888	170409832
Indiana	6265933	46236836
Iowa	2955010	8277964
Kansas	2740759	7086984
Kentucky	4206074	19897897
Louisiana	4515939	13579452
Maine	1325518	9087302
Maryland	5624246	20395433
Massachusetts	6433422	149368325
Michigan	9883360	86199283
Minnesota	5141953	89767506
Mississippi	2901371	3115839
Missouri	5768151	78790181
Montana	930698	5733124
Nebraska	1757399	24033693
Nevada	2399532	6691353
New Hampshire	1316216	8198690
New Jersey	8751436	29500068
New Mexico	1912684	11049424
New York	19274244	653407487
North Carolina	8611367	33412552
North Dakota	630529	1106609
Ohio	11467123	98047340
Oklahoma	3547049	19607468
Oregon	3642919	22827242
Pennsylvania	12440621	164343581
Rhode Island	1050292	11994787
South Carolina	4229842	10061169
South Dakota	770184	808249
Tennessee	5935099	28351681
Texas	22875689	218145267
Utah	2427340	25701109
Vermont	624501	6099314
Virginia	7642884	57324542
Washington	6271775	41851398
West Virginia	1817871	2062751
Wisconsin	5535168	29379433
Wyoming	505907	4633856
