ein	name	revenue	mission
510311790	THE SHEPHERD PLACE INC	430457	TO PROVIDE EMERGENCY SHELTER FOR HOMELESS FAMILIES & INDIVIDUALS.
731653383	WHATCOM COUNTY NORTH ROTARY CLUB	31454	CHARITABLE AND BENEVOLENT SERVICES PROMOTING THE OBJECT OF ROTARY INTERNATIONAL.
621273871	THE RIVERCITY COMPANY	2830870	THE RIVERCITY COMPANY'S MISSION IS TO ASSIST AND SUPPORT THE CHATTANOOGA CITY AND HAMILTON COUNTY GOVERNMENTS BY PROMOTING AND MANAGING THE DEVELOPMENT OF A VIBRANT, ATTRACTIVE AND HEALTHY DOWNTOWN THAT IS THE ECONOMIC, SOCIAL AND CULTURAL CENTERPIECE OF THE CHATTANOOGA REGION. THE RIVERCITY COMPANY ACCOMPLISHES THIS BY OVERSEEING DEVELOPMENT OF DOWNTOWN REAL ESTATE, MAKING AND PROGRAMMING GREAT URBAN SPACES, AND EMPLOYING CREATIVE URBAN DESIGN. ITS PRIMARY STRATEGIC AREAS FOR PROJECTS AND INITIATIVES ARE COMPLETING A RETURN TO THE RIVER IN THE ROSS'S LANDING/RIVERFRONT DISTRICT, REINVIGORATING THE HISTORIC COMMERCIAL CORE IN THE CENTRAL BUSINESS DISTRICT, AND BRINGING MORE RESIDENTS TO ALL AREAS OF DOWNTOWN THROUGH CATALYZING A FULL RANGE OF DOWNTOWN HOUSING.
541897455	THOMAS JEFFERSON	447016	ESTABLISH AND ADMINISTER AN ENERGENCY MEDICAL SERVICES SYSTEM AND TO PROVIDE TRAINING AND CONTINUING EDUCATION ON PUBLIC SAFETY.
376046335	INTERNATIONAL ASSOCIATION OF LIONS	49731	ASSIST SIGHT AND HEARING IMPAIRED INDIVIDUALS
050454409	HAITI ENDOWMENT FUND	594598	SERVING THE HAITIAN COMMUNITY & SURROUNDING AREA IN EDUCATION OF HYGIENE, HOUSING, FOOD PREPARATION, SANITATION, FARMING AND FARMING TECHNIQUES
561797737	GEORGE HILDEBRAN FIRE AND RESCUE DEPARTMENT INC	204471	TO PROVIDE FIRE PROTECTION AND FIRST RESPONDER SERVICES FOR THE LOCAL RURAL COMMUNITY.
590638867	FLORIDA BETA PI BETA PHI FRATERNITY	722165	TO MUTUALLY ENCOURAGE AND ASSIST MEMBERS IN SOCIAL, MENTAL AND MORAL ADVANCEMENT.
381557861	JUNIOR ACHIEVEMENT OF THE MICHIGAN	1598969	TO PROVIDE BUSINESS EDUCATION TO STUDENTS, GRADES K-12.
362425015	AMERICAN RENTAL ASSOCIATION INC	15293080	TO PROMOTE THE SUCCESS OF OUR MEMBERS AND ADVANCE THE GROWTH OF THE EQUIPMENT RENTAL INDUSTRY. WE HOLD AN ANNUAL CONVENTION, PRODUCE A MAGAZINE, AND PROVIDE VARIOUS OTHER MEMBER SERVICES.
